UniqueID,parteiID,partei,Wahlkreis,ID,Name,Geb. Jahr,Wohnort
60407,4,GRÜNE,906,407,"Baier, Anja",1970,Karlstadt
60408,4,GRÜNE,906,408,"Wagener, Stefan",1971,Aschaffenburg
60409,4,GRÜNE,906,409,"Becker, Marion",1958,Mömlingen
60410,4,GRÜNE,906,410,"Goll, Volker",1961,Kahl a.Main
60411,4,GRÜNE,906,411,"Tippe, Karina",1964,Goldbach
60412,4,GRÜNE,906,412,"Knoblach, Paul",1954,Bergrheinfeld
60413,4,GRÜNE,906,413,"Eckardt, Oliver",1991,Trappstadt
60414,4,GRÜNE,906,414,"Schneider, Joachim",1962,Klingenberg a.Main
60415,4,GRÜNE,906,415,"Bergmann, Tatjana",1972,Kahl a.Main
60416,4,GRÜNE,906,416,"Plate, Hans",1963,Willanzheim
60417,4,GRÜNE,906,417,"Winter, Petra",1969,Bad Kissingen
60418,4,GRÜNE,906,418,"Selariu, Marc",1992,Würzburg
60419,4,GRÜNE,906,419,"Reder-Zirkelbach, Birgit",1966,Großeibstadt
60501,5,FDP,906,501,"Kaltenhauser, Dr. Helmut",1961,Alzenau
60502,5,FDP,906,502,"Kuhl, Wolfgang",1952,Erlabrunn
60503,5,FDP,906,503,"Fischer, Wolfram",1958,Würzburg
60504,5,FDP,906,504,"Graf von Stauffenberg, Karl Schenk",1970,Höchheim
60505,5,FDP,906,505,"Sander, Peter",1975,Lohr a.Main
60506,5,FDP,906,506,"Zimmermann, Frank",1970,Dorfprozelten
60507,5,FDP,906,507,"Kolb, Peter",1957,Aschaffenburg
60508,5,FDP,906,508,"Hofstetter, Dr. Hans-Joachim",1958,Bad Kissingen
60509,5,FDP,906,509,"Müller, Hans",1958,Wiesentheid
60510,5,FDP,906,510,"Bock, Gunnar",1978,Schweinfurt
60511,5,FDP,906,511,"Jannek, Werner",1957,Marktheidenfeld
60512,5,FDP,906,512,"Linduschka, Dr. Heinz",1950,Elsenfeld
60513,5,FDP,906,513,"Schenkel, Dr. Astrid",1966,Würzburg
60514,5,FDP,906,514,"Rausch, Hartmut",1953,Ostheim v.d.Rhön
60515,5,FDP,906,515,"Pascher, Harald",1969,Ebern
60516,5,FDP,906,516,"Vorbeck, Edda",1979,Schweinfurt
60517,5,FDP,906,517,"Betz, Patrick-Daniel",1975,Karlstein a.Main
60518,5,FDP,906,518,"Brumme, Dr. Holm",1958,Waldbüttelbrunn
60519,5,FDP,906,519,"Schneider, Thilo",1966,Aschaffenburg
60601,6,DIE LINKE,906,601,"Striesow, Robert",1987,Schweinfurt
60602,6,DIE LINKE,906,602,"Pfaff, Christine",1963,Sommerach
60603,6,DIE LINKE,906,603,"Genheimer, Florence",1992,Schweinfurt
60604,6,DIE LINKE,906,604,"Beck, Florian",1984,Münnerstadt
60605,6,DIE LINKE,906,605,"Greber, Andrea",1959,Schweinfurt
60606,6,DIE LINKE,906,606,"Schäffer, Tobias",1998,Hausen
60607,6,DIE LINKE,906,607,"Strobel, Angelika",1950,Werneck
60608,6,DIE LINKE,906,608,"Hansen, Kevin-Christopher",1990,Kleinrinderfeld
60609,6,DIE LINKE,906,609,"Greber, Jutta",1953,Schweinfurt
60610,6,DIE LINKE,906,610,"Liebl, Georg",1947,Leidersbach
60611,6,DIE LINKE,906,611,"Riedelsheimer, Marga",1953,Schweinfurt
60612,6,DIE LINKE,906,612,"Hänsch, Christian",1969,Bad Kissingen
60613,6,DIE LINKE,906,613,"Dörnhöfer, Doris",1953,Würzburg
60614,6,DIE LINKE,906,614,"Diekmann, Peter",1946,Niedernberg
60615,6,DIE LINKE,906,615,"Barrientos Krauss, Simone",1963,Ochsenfurt
60616,6,DIE LINKE,906,616,"Häuslein, Stefan",1978,Marktheidenfeld
60617,6,DIE LINKE,906,617,"Freund, Matthias",1967,Bad Neustadt a.d.Saale
60618,6,DIE LINKE,906,618,"Timm, Martin, (Sukov, Leander)",1957,Ochsenfurt
60619,6,DIE LINKE,906,619,"Siedler, Peter",1943,Kleinlangheim
60701,7,BP,906,701,"Hartmann, Uwe",1963,Kitzingen
60702,7,BP,906,702,"Gilbert, Uta",1961,Gerolzhofen
60703,7,BP,906,703,"Hess, Oliver",1993,Mainstockheim
60704,7,BP,906,704,"Sadlo, Franz",1948,Bad Kissingen
60705,7,BP,906,705,"Fieger, Christian",1993,Eschau
60706,7,BP,906,706,"Herberich, Matthias",1966,Eußenheim
60707,7,BP,906,707,"Rönninger, Karl-Heinz",1944,Albertshofen
60708,7,BP,906,708,"Nix, Benjamin",1987,Schweinfurt
60709,7,BP,906,709,"Gilbert, Raimund",1990,Gerolzhofen
60710,7,BP,906,710,"Götz, Thorsten",1987,Schweinfurt
60711,7,BP,906,711,"Götz, Sabine",1966,Schweinfurt
60712,7,BP,906,712,"Hartmann, Birgit",1960,Kitzingen
60713,7,BP,906,713,"Weinmann, Ingrid",1942,Kitzingen
60714,7,BP,906,714,"Trautmann, Felix",1985,Sulzbach a.Main
60715,7,BP,906,715,"Lutz, Ingrid",1951,Waldbüttelbrunn
60716,7,BP,906,716,"Schneider, Anette",1952,Iphofen
60717,7,BP,906,717,"Rammig, Jürgen",1965,Kitzingen
60718,7,BP,906,718,"Stadel, Rudolf",1956,Kitzingen
60719,7,BP,906,719,"Brennfleck, Gertrud",1952,Kitzingen
60801,8,ÖDP,906,801,"Schmitt, Bernhard",1966,Aschaffenburg
60802,8,ÖDP,906,802,"Binder, Raimund",1964,Würzburg
60803,8,ÖDP,906,803,"Reinhard, Michaela",1974,Bad Kissingen
60804,8,ÖDP,906,804,"Dorsch, Patrik",1985,Hammelburg
60805,8,ÖDP,906,805,"Paulus-Hildner, Silvia",1965,Kitzingen
60806,8,ÖDP,906,806,"May, Dietmar",1957,Hollstadt
60807,8,ÖDP,906,807,"von Bodisco, Wolf",1941,Würzburg
60808,8,ÖDP,906,808,"Winter, Wolfgang",1957,Sulzbach a.Main
60809,8,ÖDP,906,809,"Tröge, Bianca",1972,Kitzingen
60810,8,ÖDP,906,810,"Lang, Rudolf",1953,Aschaffenburg
60811,8,ÖDP,906,811,"Welzenbach, Patricia",1958,Würzburg
60812,8,ÖDP,906,812,"Krommer, Marianne",1962,Bürgstadt
60813,8,ÖDP,906,813,"Albert, Klemens",1950,Pfarrweisach
60814,8,ÖDP,906,814,"Wagenhäuser, Esther",1988,Gerolzhofen
