regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,501  Nürnberg-Nord,502  Nürnberg-Ost,503  Nürnberg-Süd,504  Nürnberg-West,505  Ansbach-Nord,"506  Ansbach-Süd, Weißenburg-Gunzenhausen",507  Erlangen-Höchstadt,508  Erlangen-Stadt,509  Fürth,"510  Neustadt a.d.Aisch-Bad Windsheim, Fürth-Land",511  Nürnberger Land,512  Roth
905,8,REP,19,"Meyer, Friedrich",22,,46,46,1,,1,,26,3,2,,5,7,1,
905,8,REP,20,"Nagler, Volker",23,,44,44,1,1,2,2,,,10,15,3,3,6,1
905,8,REP,21,"Staszewski, Anja",20,,67,67,1,6,2,3,2,1,11,,3,4,33,1
905,8,REP,22,"Endres, Werner",18,,110,110,7,3,7,3,,8,2,,4,6,66,4
905,8,REP,23,"Gretzbach, Sven",24,,41,41,3,3,4,1,1,3,1,,3,4,18,
905,8,REP,24,"Jordan, Gabriele",21,,48,48,3,,2,2,4,5,,,8,4,18,2
905,8,REP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,46,46,1,5,5,3,3,2,,,11,6,5,5
905,8,REP,,Erststimmen insgesamt,,,6759,,458,407,640,448,575,843,305,180,857,627,798,621
905,8,REP,,Zweitstimmen insgesamt,,,6379,6379,408,426,538,470,536,681,297,210,759,734,809,511
905,8,REP,,Gesamtstimmen,,,13138,6379,866,833,1178,918,1111,1524,602,390,1616,1361,1607,1132
905,9,Bayern Partei,1,"Ollert, Ralf",1,,4586,3761,364,345,503,825*,344,387,287,166,407,382,304,272
905,9,Bayern Partei,2,"Vahlberg, Richard",2,,2190,1294,58,59,104,353,156,112,74,40,192,896*,59,87
905,9,Bayern Partei,3,"Meise, Tristan",5,,1297,459,21,24,24,43,59,44,43,23,838*,112,40,26
905,9,Bayern Partei,4,"Heiß, Michael",6,,1130,228,8,18,26,25,47,902*,14,10,28,14,7,31
905,9,Bayern Partei,5,"Rübel, Sandra",4,,1348,703,645*,46,63,168,54,75,51,29,73,73,32,39
905,9,Bayern Partei,6,"Schelle, Gerhard",7,,1047,229,18,26,818*,67,14,22,18,8,20,7,15,14
905,9,Bayern Partei,7,"Mayr, Richard",12,,737,177,10,560*,29,48,12,18,9,6,16,14,5,10
905,9,Bayern Partei,8,"Langen, Doreen",3,,1349,337,16,10,22,20,1012*,66,28,12,26,102,15,20
905,9,Bayern Partei,9,"Rorich, Christine",10,,890,330,55,31,31,62,29,25,560*,9,16,23,29,20
905,9,Bayern Partei,10,"Reeb, Marco",11,,772,445,7,3,4,14,273,58,6,327*,11,58,4,7
905,9,Bayern Partei,11,"Engelmann, Sigurd",8,,945,314,21,28,27,28,23,34,17,10,27,58,631*,41
905,9,Bayern Partei,12,"Steinbeck, Torsten",9,,900,344,15,7,22,34,18,26,26,13,22,23,138,556*
905,9,Bayern Partei,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,58,58,5,8,4,5,5,3,3,4,9,5,1,6
905,9,Bayern Partei,,Erststimmen insgesamt,,,8570,,645,560,818,825,1012,902,560,327,838,896,631,556
905,9,Bayern Partei,,Zweitstimmen insgesamt,,,8679,8679,598,605,859,867,1034,870,576,330,847,871,649,573
905,9,Bayern Partei,,Gesamtstimmen,,,17249,8679,1243,1165,1677,1692,2046,1772,1136,657,1685,1767,1280,1129
905,10,BüSo,1,"Cerveny, Vaclav",1,,1388,938,67,59,83,49,450*,148,104,60,92,125,50,101
905,10,BüSo,2,"AbeleKloha, Heidi",2,,1033,325,19,11,5,7,186,23,18,9,16,708*,17,14
905,10,BüSo,3,"Gerken, Lars",8,,698,362,58,39,336*,46,25,22,24,17,35,33,28,35
905,10,BüSo,4,"Haskic, Beate",11,,436,169,8,4,3,6,5,10,92,267*,10,19,10,2
905,10,BüSo,5,"Matschewsky, Theodor",13,,373,68,4,10,6,11,1,4,6,5,6,8,305*,7
905,10,BüSo,6,"Brendecke, Michael",4,,957,218,10,11,9,22,23,18,17,17,739*,66,8,17
905,10,BüSo,7,"Fifeick, Mike",9,,645,242,26,403*,28,23,17,18,14,13,40,31,14,18
905,10,BüSo,8,"Grimke, Harald",7,,837,141,696*,30,19,17,6,10,9,5,15,9,10,11
905,10,BüSo,9,"HenckWagler, Inge",6,,840,59,6,2,6,4,6,781*,4,2,8,9,1,11
905,10,BüSo,10,"Kral, Manfred",5,,875,141,4,5,8,8,10,14,734*,10,10,63,5,4
905,10,BüSo,11,"Loos, Reiner",10,,488,176,23,25,25,312*,10,20,12,7,19,11,10,14
905,10,BüSo,12,"Mauderer, Josef",3,,982,154,12,14,14,9,10,41,11,6,19,10,8,828*
905,10,BüSo,13,"Egner, Günther",22,,117,117,22,13,12,20,4,4,2,4,15,7,10,4
905,10,BüSo,14,"Enderl, Elvira",15,,265,265,8,3,1,4,86,130,4,3,6,9,8,3
905,10,BüSo,15,"Fischer, Jürgen",12,,397,397,7,7,15,12,164,53,16,9,24,43,20,27
905,10,BüSo,16,"Graf, Bettina",19,,176,176,26,16,18,21,12,13,12,11,16,14,8,9
905,10,BüSo,17,"KernHerakovic, Ellen",18,,183,183,1,1,2,3,6,2,8,2,,153,4,1
905,10,BüSo,18,"Schleicher, Horst",16,,260,260,9,27,14,13,7,10,21,10,18,11,109,11
