regierungsbezirk-id,partei-id,partei-name,Nr.,Name,SZ.- Rf.1),PL.- Nr.2),G3),Gesamtstimmen,darunter Zweitstimmen,101  München-Hadern,102  München-Bogenhausen,103  München-Giesing,104  München-Milbertshofen,105  München-Moosach,106  München-Pasing,107  München-Ramersdorf,108  München-Schwabing,109  München-Mitte,110  Altötting,"111  Bad Tölz-Wolfratshausen, Garmisch-Partenkirchen",112  Berchtesgadener Land,113  Dachau,114  Ebersberg,115  Eichstätt,116  Erding,117  Freising,118  Fürstenfeldbruck-Ost,119  Ingolstadt,"120  Landsberg am Lech, Fürstenfeldbruck-West",121  Miesbach,122  Mühldorf a.Inn,123  München-Land-Nord,124  München-Land-Süd,125  Neuburg-Schrobenhausen,126  Pfaffenhofen a.d.Ilm,127  Rosenheim-Ost,128  Rosenheim-West,129  Starnberg,130  Traunstein,131  Weilheim-Schongau
901,6,Die Linke,9,"Peiker, Christian",4,9,,4.636,2.210,69,37,84,87,41,64,45,51,84,82,70,47,52,113,13,80,77,58,75,57,48,168,56,43,20,22,274,2.426*,41,183,69
901,6,Die Linke,10,"Seidel, Wolfgang",44,10,,3.554,110,3.444*,7,12,11,7,4,8,1,8,1,1,3,1,2,1,2,2,5,1,0,3,5,7,4,2,2,3,2,2,1,2
901,6,Die Linke,11,"Weber-Teuber, Dr. Klaus",26,11,,3.491,1.341,73,31,134,81,35,55,42,48,59,18,47,18,34,32,9,38,64,48,34,50,32,16,53,66,13,15,2.150*,64,58,28,46
901,6,Die Linke,12,"Fröhlich, Dr. Heinz",20,12,,3.306,1.306,52,37,79,79,36,48,37,53,63,19,40,27,35,2.000*,15,36,87,46,32,36,33,20,71,43,16,17,46,71,37,39,56
901,6,Die Linke,13,"Ripke, Martina",17,13,,3.215,306,7,18,29,30,14,20,17,2.909*,23,4,6,3,3,9,5,3,10,17,10,13,1,4,10,12,2,3,6,5,10,4,8
901,6,Die Linke,14,"Sprinz, Hansjoachim",43,14,,3.136,260,5,5,4,9,9,5,4,6,11,2,6,3,10,2,6,4,4,12,4,2.876*,3,5,9,8,2,1,5,3,45,5,63
901,6,Die Linke,15,"Dogan, Erol",10,15,,2.926,627,38,2.299*,46,96,41,31,45,33,35,10,15,4,10,15,6,7,21,18,18,9,8,10,15,18,8,10,9,16,7,18,10
901,6,Die Linke,16,"Hamm, Robert",49,16,,2.918,197,6,2,9,8,6,8,9,11,5,6,8,2,7,8,3,7,19,9,3,4,7,7,2.721*,7,2,2,8,10,6,5,3
901,6,Die Linke,17,"Baudler, Bernhard",6,17,,2.838,873,29,13,54,49,27,36,29,25,49,17,87,14,11,25,14,20,30,25,33,28,13,16,37,1.965*,5,10,31,34,49,18,45
901,6,Die Linke,18,"Raufer, Michael",42,18,,2.693,981,26,20,35,32,30,29,34,19,21,31,35,1.712*,28,40,15,22,27,41,23,28,26,27,24,25,9,11,40,49,21,168,45
