regierungsbezirk-id,partei-id,partei-name,Nr.,Name,PL.Nr.1),G2),Gesamtstimmen,darunterZweitstimmen,401BambergLand,402BambergStadt,403Bayreuth,404Coburg,405Forchheim,406Hof,"407Kronach,Lichtenfels",408WunsiedelKulmbach
904,7,ÖDP,10,"Och, Tanja",12,,214,214,10,10,16,7,5,23,24,119
904,7,ÖDP,11,"Koppe, Bernd",13,,203,203,4,3,159,7,7,5,4,14
904,7,ÖDP,12,"Duppel, Ralf",14,,201,201,3,1,4,6,8,160,2,17
904,7,ÖDP,13,"Grimm, Raphael",11,,275,275,39,111,29,17,22,20,24,13
904,7,ÖDP,14,"Böhm, Hanna",16,,168,168,10,15,17,12,10,10,13,81
904,7,ÖDP,15,"Rädlein, Heidi",9,,448,448,8,16,19,340,9,18,23,15
904,7,ÖDP,16,"Deuerling, Hans",15,,182,182,32,109,5,8,10,5,7,6
904,7,ÖDP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,40,40,1,2,8,10,,4,5,10
904,7,ÖDP,,Erststimmen insgesamt,,,5639,,529,731,498,790,486,663,1381,561
904,7,ÖDP,,Zweitstimmen insgesamt,,,4945,4945,607,613,712,777,525,488,585,638
904,7,ÖDP,,Gesamtstimmen,,,10584,4945,1136,1344,1210,1567,1011,1151,1966,1199
904,8,REP,1,"Meyer, Gerd",1,,2683,1971,223,226,712*,190,306,336,243,447
904,8,REP,2,"Herr, Bärbel",4,,844,525,89,184,145,18,31,27,319*,31
904,8,REP,3,"Grüner, Bruno",7,,668,446,12,9,157,222*,227,16,10,15
904,8,REP,4,"Herr, Gerd",3,,1031,344,687*,170,34,20,36,27,45,12
904,8,REP,5,"Lorenz, Joseph",2,,1657,939,538,718*,89,33,96,65,64,54
904,8,REP,6,"Scharf, Detlef",8,,655,97,5,3,25,6,9,558*,10,39
904,8,REP,7,"Baier, Lorenz",6,,773,108,29,13,38,3,665*,5,6,14
904,8,REP,8,"Krause, Rainer",5,,784,233,11,10,98,9,26,71,8,551*
904,8,REP,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,32,32,2,3,3,4,8,1,6,5
904,8,REP,,Erststimmen insgesamt,,,4432,,687,718,712,222,665,558,319,551
904,8,REP,,Zweitstimmen insgesamt,,,4695,4695,909,618,589,283,739,548,392,617
904,8,REP,,Gesamtstimmen,,,9127,4695,1596,1336,1301,505,1404,1106,711,1168
904,9,Bayern Partei,1,"Michaelis, Axel",1,,2909,1808,1101*,317,202,199,303,183,284,320
904,9,Bayern Partei,2,"Hühnlein, Johannes",3,,2021,875,303,47,34,284,58,48,1146*,101
904,9,Bayern Partei,3,"Döring, Dietmar",4,,1550,876,102,70,55,389,41,674*,153,66
904,9,Bayern Partei,4,"Diem, Sven",8,,1132,479,153,64,64,31,653*,56,56,55
904,9,Bayern Partei,5,"Breu, Winfried",5,,1409,741,179,668*,34,50,50,26,344,58
904,9,Bayern Partei,6,"Schwede, Hermann",7,,1145,143,25,11,18,1002*,20,12,33,24
904,9,Bayern Partei,7,"Bestehorn, Harald",2,,2617,1432,206,165,261,131,205,267,197,1185*
904,9,Bayern Partei,8,"Blankenburg, Moroni",6,,1366,696,47,25,670*,14,40,97,34,439
904,9,Bayern Partei,,Zweitstimmen ohne Kennzeichnung eines Bewerbers,,,46,46,3,4,7,11,3,6,6,6
904,9,Bayern Partei,,Erststimmen insgesamt,,,7099,,1101,668,670,1002,653,674,1146,1185
904,9,Bayern Partei,,Zweitstimmen insgesamt,,,7096,7096,1018,703,675,1109,720,695,1107,1069
904,9,Bayern Partei,,Gesamtstimmen,,,14195,7096,2119,1371,1345,2111,1373,1369,2253,2254
904,10,BüSo,1,"Gerbig, Matthias",1,,1503,1005,279,498*,118,146,98,99,135,130
904,10,BüSo,2,"Kießling, Thomas",2,,1166,475,34,119,39,46,25,691*,54,158
904,10,BüSo,3,"Hummel, Melanie",5,,689,298,57,116,21,20,391*,24,26,34
904,10,BüSo,4,"Dempert, Martin",3,,1129,148,981*,36,22,17,19,20,14,20
